,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6
101,0.3619573446230331,0.2866136606199281,0.12985129267418075,0.18687933391783354,0.01971284011869823,0.014985528046326298
102,0.3701739932201549,0.3734688000242418,0.0034140650123368607,0.0030112268905520085,0.24247347999622096,0.007458434856493473
103,0.5676805411494983,0.04461734029498494,0.02241345574828308,0.15339265972951416,0.007230056024718276,0.20466594705300128
104,0.18443199358925996,0.14545969717798682,0.158401495930654,0.003978786692462279,0.49374659817269134,0.013981428436945553
105,0.5716089805470385,0.35717118601513037,0.01514798493253103,0.03733724287153214,0.0063184791802820784,0.012416126453485925
106,0.13203030275581873,0.27523725243090486,0.058046388492002846,0.3621699230933638,0.018707464901634475,0.15380866832627535
107,0.012909487874293406,0.011187831399870701,0.33391327089507605,0.011052557032786839,0.29953794714018434,0.33139890565778873
108,0.06889321210237259,0.21936618422277884,0.050567343412843545,0.046484713631291315,0.38813212890000903,0.22655641773070456
109,0.3160993012382277,0.17544313468031808,0.00903735416091726,0.17697508681845606,0.22845790379172845,0.0939872193103524
110,0.5162441407435122,0.003910485661055988,0.18169515943367323,0.004826883887707217,0.2419194352769884,0.05140389499706294
111,0.2196094067616511,0.2113790410334249,0.10595871005239516,0.019274869830313825,0.23791039183642582,0.20586758048578924
112,0.18208004262838684,0.4035644664682642,0.21346804646133738,0.08909420163081176,0.10174573380513116,0.010047509006068642
113,0.003915834356543368,0.5659594696997314,0.2608049548938103,0.050060577312277636,0.11060359581176825,0.008655567925868982
114,0.11479982136787925,0.27353548599048977,0.20520786631071913,0.09143333523374658,0.24913523080680483,0.06588826029036038
115,0.48562185565488336,0.23495440664992473,0.22434903775771664,0.011296903094366277,0.03774822559008503,0.00602957125302396
116,0.02694028246545728,0.048957274762742066,0.23036245157581642,0.1336811666810453,0.547605468001875,0.012453356513063896
117,0.2388300264928527,0.0472515139329509,0.5246669925653874,0.005824379882136407,0.008605924274438008,0.1748211628522346
118,0.0423007279526741,0.014829438020643688,0.4369215763615538,0.1182307294451665,0.34242575574316814,0.04529177247679367
